Time,S (/cm2/s),slope,intercept,estimate,error
2022-07-26 14:00,11.397071470257176,-0.9641155061731179,2.484115506173118,9.952701561462163,1.4443699087950126
2022-07-26 14:05,11.815564151012623,-0.9431564734302232,2.4431564734302227,10.396077614473867,1.4194865365387557
2022-07-26 14:10,12.418662629615994,-0.9641155061731179,2.504115506173118,10.96430156146215,1.454361068153844
2022-07-26 14:15,10.049290529114414,-1.0060335716589053,2.5560335716589058,8.560149455438804,1.4891410736756097
2022-07-26 14:20,12.418662629615994,-0.9641155061731179,2.504115506173118,10.96430156146215,1.454361068153844
2022-07-26 14:25,12.929458209387672,-0.9641155061731169,2.5141155061731166,11.4701015614622,1.4593566479254712
2022-07-26 14:30,13.021761108299271,-0.9850745389160117,2.565074538916013,11.532525508450505,1.489235599848767
2022-07-26 14:35,11.907867049898025,-0.9641155061731175,2.4941155061731175,10.458501561462185,1.4493654884358396
2022-07-26 14:40,11.397071470257176,-0.9641155061731179,2.484115506173118,9.952701561462163,1.4443699087950126
2022-07-26 14:45,11.907867049898025,-0.9641155061731175,2.4941155061731175,10.458501561462185,1.4493654884358396
2022-07-26 14:50,12.000169948969287,-0.9850745389160117,2.5450745389160123,10.520925508450489,1.4792444405187979
2022-07-26 14:55,14.880337629162211,-0.943156473430223,2.5031564734302227,13.4308776144739,1.4494600146883112
2022-07-26 15:00,12.510965528602453,-0.9850745389160118,2.5550745389160125,11.026725508450497,1.4842400201519563
2022-07-26 15:05,13.440253789052674,-0.964115506173117,2.5241155061731173,11.975901561462223,1.4643522275904512
2022-07-26 15:10,9.956987630090902,-0.9850745389160115,2.505074538916012,8.4977255084505,1.4592621216404016
2022-07-26 15:15,11.489374369259,-0.9850745389160118,2.5350745389160125,10.015125508450481,1.474248860808519
2022-07-26 15:20,12.418662629615994,-0.9641155061731179,2.504115506173118,10.96430156146215,1.454361068153844
2022-07-26 15:25,12.929458209387672,-0.9641155061731169,2.5141155061731166,11.4701015614622,1.4593566479254712
2022-07-26 15:30,12.000169948969287,-0.9850745389160117,2.5450745389160123,10.520925508450489,1.4792444405187979
2022-07-26 15:35,14.880337629162211,-0.943156473430223,2.5031564734302227,13.4308776144739,1.4494600146883112
2022-07-26 15:40,14.277239150446038,-0.9221974406873296,2.44219744068733,12.862653667485588,1.4145854829604492
2022-07-26 15:45,12.326359730672172,-0.9431564734302234,2.4531564734302234,10.90187761447389,1.4244821161982824
2022-07-26 15:50,11.907867049898025,-0.9641155061731175,2.4941155061731175,10.458501561462185,1.4493654884358396
