Time,E (MeV),Flux (pfu)
2022-07-26 17:45,5.0,0.33870497345924305
2022-07-26 17:45,10.0,0.329704970121383
2022-07-26 17:45,30.0,0.322704970836639
2022-07-26 17:45,50.0,0.321704983711242
2022-07-26 17:45,60.0,0.321704983711242
2022-07-26 17:45,100.0,0.31770497560501104
2022-07-26 17:45,500.0,0.294704973697662
2022-07-26 17:50,5.0,0.34170138835906905
2022-07-26 17:50,10.0,0.33870139718055703
2022-07-26 17:50,30.0,0.33170139789581304
2022-07-26 17:50,50.0,0.317701399326324
2022-07-26 17:50,60.0,0.31070140004158003
2022-07-26 17:50,100.0,0.289701372385025
2022-07-26 17:50,500.0,0.27470138669013905
2022-07-26 17:55,5.0,0.39037129282951305
2022-07-26 17:55,10.0,0.376371294260025
2022-07-26 17:55,30.0,0.346371293067932
2022-07-26 17:55,50.0,0.33937129378318703
2022-07-26 17:55,60.0,0.33837127685546803
2022-07-26 17:55,100.0,0.33237129449844305
2022-07-26 17:55,500.0,0.305371284484863
2022-07-26 18:00,5.0,0.44836607575416504
2022-07-26 18:00,10.0,0.42236608266830405
2022-07-26 18:00,30.0,0.310366064310073
2022-07-26 18:00,50.0,0.307366073131561
2022-07-26 18:00,60.0,0.306366056203842
2022-07-26 18:00,100.0,0.301366060972213
2022-07-26 18:00,500.0,0.261366069316864
2022-07-26 18:05,5.0,0.335371285676956
2022-07-26 18:05,10.0,0.33037129044532704
2022-07-26 18:05,30.0,0.32137128710746704
2022-07-26 18:05,50.0,0.32037127017974804
2022-07-26 18:05,60.0,0.31937128305435103
2022-07-26 18:05,100.0,0.317371279001235
2022-07-26 18:05,500.0,0.305371284484863
2022-07-26 18:10,5.0,0.376374632120132
2022-07-26 18:10,10.0,0.37337464094161904
2022-07-26 18:10,30.0,0.35237464308738703
2022-07-26 18:10,50.0,0.350374639034271
2022-07-26 18:10,60.0,0.348374634981155
2022-07-26 18:10,100.0,0.341374635696411
2022-07-26 18:10,500.0,0.32537463307380604
2022-07-26 18:15,5.0,0.361371040344238
2022-07-26 18:15,10.0,0.34837102890014604
2022-07-26 18:15,30.0,0.317371040582656
2022-07-26 18:15,50.0,0.314371019601821
2022-07-26 18:15,60.0,0.31037104129791204
2022-07-26 18:15,100.0,0.307371020317077
2022-07-26 18:15,500.0,0.29737102985382
2022-07-26 18:20,5.0,0.34203702211380005
2022-07-26 18:20,10.0,0.34003701806068404
2022-07-26 18:20,30.0,0.318037033081054
2022-07-26 18:20,50.0,0.317037016153335
2022-07-26 18:20,60.0,0.316037029027938
2022-07-26 18:20,100.0,0.31203702092170704
2022-07-26 18:20,500.0,0.30003702640533403
2022-07-26 18:25,5.0,0.415034592151641
2022-07-26 18:25,10.0,0.40103459358215304
2022-07-26 18:25,30.0,0.357034593820571
2022-07-26 18:25,50.0,0.346034616231918
2022-07-26 18:25,60.0,0.34303459525108304
2022-07-26 18:25,100.0,0.33303460478782604
2022-07-26 18:25,500.0,0.280034601688385
2022-07-26 18:30,5.0,0.35170355439186
2022-07-26 18:30,10.0,0.33470356464385903
2022-07-26 18:30,30.0,0.320703566074371
2022-07-26 18:30,50.0,0.31570354104042003
2022-07-26 18:30,60.0,0.314703553915023
2022-07-26 18:30,100.0,0.314703553915023
2022-07-26 18:30,500.0,0.29870355129241905
2022-07-26 18:35,5.0,0.319365054368972
2022-07-26 18:35,10.0,0.31636506319046004
2022-07-26 18:35,30.0,0.27736505866050704
2022-07-26 18:35,50.0,0.270365059375762
2022-07-26 18:35,60.0,0.26936504244804305
2022-07-26 18:35,100.0,0.265365064144134
2022-07-26 18:35,500.0,0.261365056037902
2022-07-26 18:40,5.0,0.329033076763153
2022-07-26 18:40,10.0,0.31203305721282903
2022-07-26 18:40,30.0,0.30303305387496904
2022-07-26 18:40,50.0,0.30303305387496904
2022-07-26 18:40,60.0,0.30203306674957203
2022-07-26 18:40,100.0,0.301033079624176
2022-07-26 18:40,500.0,0.272033065557479
2022-07-26 18:45,5.0,0.31803485751152
2022-07-26 18:45,10.0,0.31503483653068504
2022-07-26 18:45,30.0,0.30603486299514704
2022-07-26 18:45,50.0,0.303034842014312
2022-07-26 18:45,60.0,0.301034837961196
2022-07-26 18:45,100.0,0.29503485560417103
2022-07-26 18:45,500.0,0.284034848213195
2022-07-26 18:50,5.0,0.378365069627761
2022-07-26 18:50,10.0,0.349365055561065
2022-07-26 18:50,30.0,0.304365068674087
2022-07-26 18:50,50.0,0.303365051746368
2022-07-26 18:50,60.0,0.301365047693252
2022-07-26 18:50,100.0,0.294365048408508
2022-07-26 18:50,500.0,0.261365056037902
2022-07-26 18:55,5.0,0.31836551427841103
2022-07-26 18:55,10.0,0.316365510225296
2022-07-26 18:55,30.0,0.30936551094055104
2022-07-26 18:55,50.0,0.30236551165580705
2022-07-26 18:55,60.0,0.30136549472808805
2022-07-26 18:55,100.0,0.29936549067497203
2022-07-26 18:55,500.0,0.26136550307273804
2022-07-26 19:00,5.0,0.316696226596832
2022-07-26 19:00,10.0,0.30369624495506203
2022-07-26 19:00,30.0,0.27469623088836603
2022-07-26 19:00,50.0,0.273696243762969
2022-07-26 19:00,60.0,0.270696222782135
2022-07-26 19:00,100.0,0.258696228265762
2022-07-26 19:00,500.0,0.23869623243808702
2022-07-26 19:05,5.0,0.403698652982711
2022-07-26 19:05,10.0,0.375698655843734
2022-07-26 19:05,30.0,0.32969865202903703
2022-07-26 19:05,50.0,0.326698660850524
2022-07-26 19:05,60.0,0.32169866561889604
2022-07-26 19:05,100.0,0.317698657512664
2022-07-26 19:05,500.0,0.25469866394996604
2022-07-26 19:10,5.0,0.464033365249633
2022-07-26 19:10,10.0,0.44103336334228505
2022-07-26 19:10,30.0,0.36203336715698203
2022-07-26 19:10,50.0,0.35603335499763406
2022-07-26 19:10,60.0,0.35503336787223805
2022-07-26 19:10,100.0,0.351033359766006
2022-07-26 19:10,500.0,0.26803335547447205
2022-07-26 19:15,5.0,0.270694553852081
2022-07-26 19:15,10.0,0.258694559335708
2022-07-26 19:15,30.0,0.249694555997848
2022-07-26 19:15,50.0,0.24269455671310403
2022-07-26 19:15,60.0,0.24169455468654602
2022-07-26 19:15,100.0,0.23869456350803303
2022-07-26 19:15,500.0,0.22269456088542902
2022-07-26 19:20,5.0,0.35769838094711304
2022-07-26 19:20,10.0,0.353698372840881
2022-07-26 19:20,30.0,0.344698369503021
2022-07-26 19:20,50.0,0.344698369503021
2022-07-26 19:20,60.0,0.343698382377624
2022-07-26 19:20,100.0,0.342698365449905
2022-07-26 19:20,500.0,0.258698374032974
2022-07-26 19:25,5.0,0.500032365322113
2022-07-26 19:25,10.0,0.477032393217086
2022-07-26 19:25,30.0,0.38803237676620406
2022-07-26 19:25,50.0,0.37503239512443504
2022-07-26 19:25,60.0,0.369032382965087
2022-07-26 19:25,100.0,0.34603238105773904
2022-07-26 19:25,500.0,0.26003238558769204
2022-07-26 19:30,5.0,0.305365443229675
2022-07-26 19:30,10.0,0.302365452051162
2022-07-26 19:30,30.0,0.295365452766418
2022-07-26 19:30,50.0,0.292365431785583
2022-07-26 19:30,60.0,0.29136544466018605
2022-07-26 19:30,100.0,0.287365436553955
2022-07-26 19:30,500.0,0.26136544346809304
2022-07-26 19:35,5.0,0.35936692357063205
2022-07-26 19:35,10.0,0.355366945266723
2022-07-26 19:35,30.0,0.314366936683654
2022-07-26 19:35,50.0,0.30936694145202603
2022-07-26 19:35,60.0,0.30936694145202603
2022-07-26 19:35,100.0,0.30836692452430703
2022-07-26 19:35,500.0,0.277366936206817
2022-07-26 19:40,5.0,0.344362467527389
2022-07-26 19:40,10.0,0.30836245417594904
2022-07-26 19:40,30.0,0.27936246991157504
2022-07-26 19:40,50.0,0.27636244893074
2022-07-26 19:40,60.0,0.274362474679946
2022-07-26 19:40,100.0,0.266362458467483
2022-07-26 19:40,500.0,0.24536246061325
2022-07-26 19:45,5.0,0.404696196317672
2022-07-26 19:45,10.0,0.40069618821144104
2022-07-26 19:45,30.0,0.359696179628372
